codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
1166;2351;450;386;445;562;378;120;10;3148;8498;16455;29205;25301;9880;997;93484,6;40
1167;647;113;90;103;161;133;41;6;794;1983;3821;8372;8887;3321;577;27754,2;43
1169;612;123;92;128;160;85;24;1;858;2028;4718;8313;5717;1930;93;23657,1;39
1170;1051;253;152;218;286;106;31;5;1770;3347;8077;14896;7081;2511;469;38151,1;36
1171;874;149;135;138;250;155;44;3;1043;2965;5100;13008;10398;3600;291;36405,8;42
1173;13118;2646;2735;3340;2617;1157;496;127;18524;60168;123572;136078;77523;40664;12090;468618,2;36
1174;183;41;28;29;46;26;14;0;286;607;1059;2392;1712;1174;0;7231,1;40
1175;835;151;124;148;190;158;60;5;1059;2718;5478;9858;10561;4891;506;35070,0;42
1177;177;29;22;25;41;42;17;1;203;489;930;2112;2787;1428;92;8041,4;45
1179;1876;361;239;326;434;331;161;23;2527;5264;12072;22576;22190;13183;2222;80033,7;43
1180;833;169;108;162;201;136;51;6;1182;2370;6012;10475;9079;4173;582;33872,5;41
1181;1229;231;172;209;318;205;76;17;1619;3794;7718;16538;13741;6239;1659;51307,3;42
1183;1452;325;189;320;280;244;86;8;2277;4149;11840;14542;16342;7076;783;57007,7;39
1184;777;153;92;157;171;145;54;5;1068;2026;5818;8910;9722;4395;482;32420,5;42
1185;4853;677;738;730;1010;966;630;103;4737;16226;27007;52522;64703;51648;9801;226644,6;47
1187;669;95;68;110;163;163;66;5;665;1490;4057;8457;10905;5399;504;31478,6;47
1188;627;141;73;133;138;93;42;7;989;1606;4913;7153;6247;3443;680;25031,4;40
1189;1136;242;183;256;241;149;57;7;1697;4035;9462;12556;9966;4678;678;43072,2;38
1190;89;14;9;12;20;20;13;1;98;198;444;1040;1340;1066;95;4281,0;48
1191;156;21;25;30;34;31;15;0;147;550;1110;1768;2077;1230;0;6882,0;44
1192;2247;464;374;466;508;318;100;16;3248;8233;17238;26418;21328;8221;1545;86229,7;38
1193;235;33;21;34;54;68;23;2;230;466;1253;2807;4539;1910;201;11406,0;49
1194;6339;1187;1018;1125;1334;1047;544;83;8309;22389;41624;69385;70175;44629;7919;264430,5;42
1195;1755;366;230;332;360;258;157;52;2564;5052;12278;18720;17313;12849;4948;73724,0;42
1196;1182;291;175;269;214;150;74;8;2040;3844;9969;11109;10077;6103;750;43893,2;37
1197;355;67;43;63;74;81;23;4;469;946;2331;3848;5427;1886;380;15287,0;43
1198;271;56;50;59;61;36;8;2;389;1090;2170;3155;2439;663;192;10098,8;37
1199;2156;421;351;418;454;312;156;44;2947;7723;15469;23584;20933;12815;4138;87609,4;41
1200;210;50;35;44;40;27;12;1;350;777;1634;2092;1841;966;93;7753,3;37
